Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
         d(center): 8.480 A  angles  :    30.2    35.3   162.1    65.5   154.8   133.3
 atom  43 species H  : neighbors at    1.032   1.750   2.061   2.177 A
         d(center):10.879 A  angles  :    30.8    34.2   164.8    63.9   152.4   133.8
 atom  44 species H  : neighbors at    1.013   1.750   2.035   2.729 A
         d(center):10.605 A  angles  :    31.5    35.1    74.3    65.5   104.5    39.2
 atom  45 species N  : neighbors at    1.013   1.032   1.339   2.309 A
         d(center): 8.292 A  angles  :   117.7   119.1   148.9   120.2    91.0    30.0
 atom  46 species N  : neighbors at    1.013   1.032   1.339   2.309 A
         d(center): 4.580 A  angles  :   117.6   119.2   149.0   120.2    91.0    30.0
 atom  47 species N  : neighbors at    1.013   1.032   1.339   2.309 A
         d(center): 4.580 A  angles  :   117.6   119.2   149.0   120.2    91.0    30.0
 atom  48 species N  : neighbors at    1.023   1.027   1.330   2.309 A
         d(center): 3.550 A  angles  :   119.5   122.3    92.2   118.2   148.2    30.2
 atom  49 species N  : neighbors at    1.023   1.027   1.330   2.309 A
         d(center): 3.550 A  angles  :   119.5   122.3    92.2   118.2   148.2    30.2
 atom  50 species N  : neighbors at    1.023   1.027   1.330   2.309 A
         d(center): 9.515 A  angles  :   119.4   122.3    92.2   118.3   148.3    30.2
 atom  51 species N  : neighbors at    1.023   1.027   1.330   2.309 A
         d(center): 3.550 A  angles  :   119.5   122.3    92.2   118.2   148.2    30.2
 atom  52 species N  : neighbors at    1.023   1.027   1.330   2.309 A
         d(center): 3.550 A  angles  :   119.5   122.3    92.2   118.2   148.2    30.2
 atom  53 species N  : neighbors at    1.023   1.027   1.330   2.309 A
         d(center): 7.349 A  angles  :   119.4   122.3    92.2   118.3   148.3    30.2
 atom  54 species N  : neighbors at    1.013   1.032   1.339   2.309 A
         d(center): 5.665 A  angles  :   117.7   119.1   148.9   120.2    91.0    30.0
 atom  55 species N  : neighbors at    1.013   1.032   1.339   2.309 A
         d(center): 4.580 A  angles  :   117.6   119.2   149.0   120.2    91.0    30.0
 atom  56 species N  : neighbors at    1.013   1.032   1.339   2.309 A
         d(center): 4.580 A  angles  :   117.6   119.2   149.0   120.2    91.0    30.0
 atom  57 species N  : neighbors at    1.013   1.032   1.339   2.309 A
         d(center):12.164 A  angles  :   117.7   119.1   148.9   120.2    91.0    30.0
 atom  58 species N  : neighbors at    1.023   1.027   1.330   2.309 A
         d(center):11.652 A  angles  :   119.4   122.3    92.2   118.3   148.3    30.2
