Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
 atom  49 species Cl : neighbors at    2.454   2.487   3.242   3.242 A
         d(center): 7.981 A  angles  :    85.1    96.7    96.7    80.0    80.0   154.9
 atom  50 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center):14.900 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  51 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):12.553 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  52 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center):14.612 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  53 species H  : neighbors at    0.746   1.347   1.347   1.966 A
         d(center):14.327 A  angles  :    37.5    37.5    36.8    52.1    67.4    67.4
 atom  54 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):12.803 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  55 species H  : neighbors at    0.881   1.286   1.286   2.025 A
         d(center):13.099 A  angles  :    26.5    26.5    38.2    40.0    58.2    58.2
 atom  56 species C  : neighbors at    0.746   0.880   0.880   1.440 A
         d(center):14.229 A  angles  :   111.5   111.5   125.2    84.3   108.4   108.4
 atom  57 species N  : neighbors at    0.633   0.633   0.881   1.440 A
         d(center):13.032 A  angles  :    87.9   115.2   107.1   115.2   107.1   119.5
 atom  58 species Cl : neighbors at    2.454   2.487   3.242   3.242 A
         d(center):12.780 A  angles  :    85.1    96.7    96.7    80.0    80.0   154.9
 atom  59 species Cl : neighbors at    2.454   2.487   3.242   3.242 A
         d(center):17.636 A  angles  :    85.1    96.7    96.7    80.0    80.0   154.9
 atom  60 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center): 5.656 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  61 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center): 3.952 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  62 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center): 5.656 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  63 species H  : neighbors at    0.746   1.347   1.347   1.966 A
         d(center): 4.742 A  angles  :    37.5    37.5    36.8    52.1    67.4    67.4
 atom  64 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center): 3.952 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  65 species H  : neighbors at    0.881   1.286   1.286   2.025 A
         d(center): 5.033 A  angles  :    26.5    26.5    38.2    40.0    58.2    58.2
 atom  66 species C  : neighbors at    0.746   0.880   0.880   1.440 A
         d(center): 4.977 A  angles  :   111.5   111.5   125.2    84.3   108.4   108.4
 atom  67 species N  : neighbors at    0.633   0.633   0.881   1.440 A
         d(center): 4.378 A  angles  :    87.9   115.2   107.1   115.2   107.1   119.5
 atom  68 species Cl : neighbors at    2.454   2.487   3.242   3.242 A
