Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
 atom  62 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center): 5.185 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  63 species H  : neighbors at    1.105   1.803   1.803   2.114 A
         d(center): 3.637 A  angles  :    34.8    34.8    42.0    59.8    64.8    64.8
 atom  64 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center): 4.007 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  65 species H  : neighbors at    1.068   1.704   1.704   2.013 A
         d(center): 5.398 A  angles  :    35.5    35.5   172.4    58.5   139.9   139.9
 atom  66 species C  : neighbors at    1.095   1.095   1.105   1.489 A
         d(center): 4.515 A  angles  :   110.4   110.1   109.0   110.1   109.0   108.2
 atom  67 species N  : neighbors at    1.039   1.039   1.068   1.489 A
         d(center): 4.383 A  angles  :   106.4   107.9   109.8   107.9   109.8   114.7
 atom  68 species Cl : neighbors at    2.014   2.347   2.436   2.907 A
         d(center): 5.863 A  angles  :    97.8   163.2    97.5    99.0    73.4    87.3
 atom  69 species Cl : neighbors at    2.014   2.347   2.436   2.907 A
         d(center): 8.224 A  angles  :    97.8   163.2    97.6    99.0    73.4    87.2
 atom  70 species Cl : neighbors at    2.361   2.362   2.582   2.582 A
         d(center):12.112 A  angles  :   118.6   108.1    79.7    79.7   108.1   165.1
 atom  71 species Cl : neighbors at    2.361   2.362   2.582   2.582 A
         d(center):10.987 A  angles  :   118.6   108.1    79.7    79.7   108.1   165.1
 atom  72 species Cl : neighbors at    2.361   2.362   2.582   2.582 A
         d(center):10.357 A  angles  :   118.6   108.1    79.7    79.7   108.1   165.1
 atom  73 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center):13.675 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  74 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):11.272 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  75 species Mn : neighbors at    2.347   2.347   2.582   2.582 A
         d(center):10.360 A  angles  :   180.0    89.0    89.0    91.0    91.0    88.6
 atom  76 species Mn : neighbors at    2.347   2.347   2.582   2.582 A
         d(center):10.349 A  angles  :   180.0    89.0    89.0    91.0    91.0    88.5
 atom  77 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center):13.675 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  78 species H  : neighbors at    1.105   1.803   1.803   2.114 A
         d(center):12.883 A  angles  :    34.8    34.8    42.0    59.8    64.8    64.8
 atom  79 species H  : neighbors at    1.039   1.664   1.704   2.085 A
