Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
 atom  41 species H  : neighbors at    0.675   1.443   1.961   2.286 A
         d(center):10.810 A  angles  :    70.7    15.5   158.3    82.2   117.0   157.9
 atom  42 species H  : neighbors at    0.675   1.443   1.961   2.286 A
         d(center): 8.235 A  angles  :    70.7    15.5   158.3    82.2   117.0   157.9
 atom  43 species H  : neighbors at    1.366   1.418   2.286   2.324 A
         d(center):10.277 A  angles  :    23.9   126.0    46.7   122.7    31.5    91.6
 atom  44 species H  : neighbors at    0.580   1.366   1.706   2.649 A
         d(center):11.084 A  angles  :    83.0    42.7    81.3    97.7    96.1    39.9
 atom  45 species N  : neighbors at    0.580   1.339   1.418   2.314 A
         d(center): 8.367 A  angles  :   120.2    73.0   146.6   114.9    29.4   124.6
 atom  46 species N  : neighbors at    0.580   1.339   1.418   2.314 A
         d(center): 4.788 A  angles  :   120.2    73.0   146.6   114.9    29.4   124.6
 atom  47 species N  : neighbors at    0.580   1.339   1.418   2.314 A
         d(center): 4.788 A  angles  :   120.2    73.0   146.6   114.9    29.4   124.6
 atom  48 species N  : neighbors at    0.675   1.323   1.377   2.314 A
         d(center): 3.692 A  angles  :   156.6    81.7   162.0   114.6    29.8    85.3
 atom  49 species N  : neighbors at    0.675   1.323   1.377   2.314 A
         d(center): 3.692 A  angles  :   156.6    81.7   162.0   114.6    29.8    85.3
 atom  50 species N  : neighbors at    0.675   1.323   1.377   2.314 A
         d(center): 9.575 A  angles  :   156.6    81.7   162.0   114.6    29.8    85.3
 atom  51 species N  : neighbors at    0.675   1.323   1.377   2.314 A
         d(center): 3.692 A  angles  :   156.6    81.7   162.0   114.6    29.8    85.3
 atom  52 species N  : neighbors at    0.675   1.323   1.377   2.314 A
         d(center): 3.692 A  angles  :   156.6    81.7   162.0   114.6    29.8    85.3
 atom  53 species N  : neighbors at    0.675   1.323   1.377   2.314 A
         d(center): 7.337 A  angles  :   156.6    81.7   162.0   114.6    29.8    85.3
 atom  54 species N  : neighbors at    0.580   1.339   1.418   2.314 A
         d(center): 5.835 A  angles  :   120.2    73.0   146.6   114.9    29.4   124.6
 atom  55 species N  : neighbors at    0.580   1.339   1.418   2.314 A
         d(center): 4.788 A  angles  :   120.2    73.0   146.6   114.9    29.4   124.6
 atom  56 species N  : neighbors at    0.580   1.339   1.418   2.314 A
         d(center): 4.788 A  angles  :   120.2    73.0   146.6   114.9    29.4   124.6
 atom  57 species N  : neighbors at    0.580   1.339   1.418   2.314 A
         d(center):12.389 A  angles  :   120.2    73.0   146.6   114.9    29.4   124.6
 atom  58 species N  : neighbors at    0.675   1.323   1.377   2.314 A
         d(center):11.792 A  angles  :   156.6    81.7   162.0   114.6    29.8    85.3
 atom  59 species N  : neighbors at    0.675   1.323   1.377   2.314 A
         d(center):10.060 A  angles  :   156.6    81.7   162.0   114.6    29.8    85.3
 atom  60 species N  : neighbors at    0.580   1.339   1.418   2.314 A
         d(center):10.842 A  angles  :   120.2    73.0   146.6   114.9    29.4   124.6
 atom  61 species Ni : neighbors at    2.399   2.462   2.462   2.462 A
         d(center): 0.108 A  angles  :    96.7    96.7    96.7   166.6    89.2    89.2
 atom  62 species Ni : neighbors at    2.399   2.462   2.462   2.462 A
         d(center): 8.174 A  angles  :    96.7    96.7    96.7    89.2    89.2   166.6
 atom  63 species S  : neighbors at    1.731   2.447   2.462   2.624 A
         d(center): 2.451 A  angles  :    99.3   113.9    27.1    81.7    94.2   139.8
 atom  64 species S  : neighbors at    1.731   2.447   2.462   2.624 A
         d(center): 2.451 A  angles  :    99.3   113.9    27.1    81.7    94.2   139.8
 atom  65 species S  : neighbors at    1.731   2.447   2.462   2.624 A
         d(center): 7.045 A  angles  :    99.3   113.9    27.1    81.7    94.2   139.8
 atom  66 species S  : neighbors at    1.731   2.447   2.462   2.624 A
         d(center): 2.451 A  angles  :    99.3   113.9    27.1    81.7    94.2   139.8
 atom  67 species S  : neighbors at    1.731   2.447   2.462   2.624 A
         d(center): 2.451 A  angles  :    99.3   113.9    27.1    81.7    94.2   139.8
 atom  68 species S  : neighbors at    1.731   2.447   2.462   2.624 A
         d(center): 6.665 A  angles  :    99.3   113.9    27.1    81.7    94.2   139.8
 atom  69 species S  : neighbors at    1.731   2.447   2.462   2.624 A
         d(center): 9.802 A  angles  :    99.3   113.9    27.1    81.7    94.2   139.8
 atom  70 species S  : neighbors at    1.731   2.447   2.462   2.624 A
         d(center): 9.532 A  angles  :    99.3   113.9    27.1    81.7    94.2   139.8
